apartment_id,apartment_name,apartment_address,school_count
219,노블스카이,서울특별시 광진구 자양동 769-1,15
549,당곡,서울특별시 양천구 신월동 547-9,15
4100,대광월드,서울특별시 은평구 불광동 391-68,15
3363,대림e-편한세상,서울특별시 양천구 신정동 1303,15
3751,대명그린(아),서울특별시 구로구 궁동 190-121,15
402,대주파크빌,서울특별시 양천구 신월동 1028,15
1799,대흥동태영아파트,서울특별시 마포구 대흥동 660,15
4209,덕현타워,서울특별시 강서구 화곡동 1026-2,15
1591,돈암힐스테이트,서울특별시 성북구 돈암동 639,15
18,동대문맨션,서울특별시 종로구 창신동 578-5,15
1550,동대문와이즈캐슬,서울특별시 중구 흥인동 119,15
2930,동림푸른,서울특별시 성북구 삼선동3가 26,15
2243,동보,서울특별시 구로구 오류동 337,15
2923,동성아파트,서울특별시 중랑구 신내동 591,15
931,동양타워,서울특별시 강동구 명일동 48-12,15
2499,동익미라벨,서울특별시 도봉구 쌍문동 285-5,15
4632,동일상가,서울특별시 강동구 성내동 416-11,15
1574,동일스카이시티3차,서울특별시 동대문구 회기동 60-223,15
3322,동일하이빌2단지,서울특별시 양천구 신정동 1311,15
3988,동평화패션타운,서울특별시 중구 신당동 217-95,15
138,두산,서울특별시 성동구 금호동3가 1331,15
1961,롯데2,서울특별시 강서구 내발산동 729,15
418,롯데캐슬,서울특별시 양천구 신월동 1063,15
465,명산그린빌,서울특별시 양천구 신월동 547-1,15
3239,무궁화,서울특별시 은평구 역촌동 62-16,15
1988,문국,서울특별시 강서구 내발산동 708-1,15
2915,문수해오름,서울특별시 중랑구 망우동 490-30,15
4417,미래한건(1563-78),서울특별시 관악구 신림동 1563-78,15
1571,베라체캠퍼스,서울특별시 동대문구 회기동 346-18,15
4367,보라매정은벚꽃마을,서울특별시 영등포구 신길동 4944,15
3631,북한산한신휴플러스,서울특별시 도봉구 창동 826,15
356,브라운스톤공덕아파트,서울특별시 마포구 신공덕동 170,15
3298,산경,서울특별시 서대문구 천연동 117-23,15
479,삼구,서울특별시 양천구 신월동 604-4,15
2507,삼보,서울특별시 도봉구 쌍문동 460-8,15
933,삼보힐아파트,서울특별시 강동구 명일동 312-256,15
3037,삼성래미안,서울특별시 강남구 도곡동 91-5,15
3428,삼성한사랑1,서울특별시 강서구 등촌동 632-4,15
435,삼익2차플라주,서울특별시 양천구 신월동 1046,15
38,삼전솔하임2차,서울특별시 종로구 숭인동 296-19,15
4070,삼창타워주상프라자,서울특별시 노원구 중계동 584-1,15
4026,상계주공8(저층),서울특별시 노원구 상계동 677,15
4433,상목에버빌A,서울특별시 관악구 신림동 1559-15,15
4430,상목에버빌B,서울특별시 관악구 신림동 1559-19,15
706,상진아파트,서울특별시 동작구 상도동 323-4,15
702,샤인,서울특별시 동작구 상도동 350-5,15
426,세아쎄닛빌,서울특별시 양천구 신월동 547-5,15
1520,세양청마루,서울특별시 송파구 문정동 146,15
2308,송파삼성래미안아파트,서울특별시 송파구 송파동 162,15
3333,수정,서울특별시 양천구 신정동 733-31,15
2518,시그마팰리스,서울특별시 도봉구 쌍문동 575,15
4374,신길동자이,서울특별시 영등포구 신길동 4938,15
2924,신내아트빌,서울특별시 중랑구 신내동 450-1,15
3980,신당아르브,서울특별시 중구 신당동 160-5,15
1277,신대림신동아파밀리에,서울특별시 영등포구 대림동 1124,15
414,신도신월1차,서울특별시 양천구 신월동 1029,15
2521,신동아아파트1,서울특별시 도봉구 방학동 271-1,15
4416,신림동이모르젠,서울특별시 관악구 신림동 518-19,15
2513,신성오크힐,서울특별시 도봉구 쌍문동 81-151,15
2284,신세계,서울특별시 금천구 시흥동 823,15
2019,신세계3차101동,서울특별시 강서구 내발산동 731,15
3260,신아굿모닝,서울특별시 은평구 역촌동 58-33,15
4052,신일,서울특별시 노원구 중계동 589,15
