apartment_id,apartment_name,apartment_address,subway_count
370,펜트라우스,서울특별시 마포구 신공덕동 172,5
4629,하이1(113-5),서울특별시 중구 신당동 113-5,5
1217,하이펠리스,서울특별시 서대문구 창천동 470,5
4649,한강로대우아이빌,서울특별시 용산구 한강로2가 2-11,5
2766,한신3차,서울특별시 서초구 반포동 1-1,5
1540,한신잠실코아,서울특별시 송파구 신천동 11-9,5
1405,현대ESA2,서울특별시 서초구 서초동 1542-6,5
3385,현대비젼21,서울특별시 강남구 도곡동 467-19,5
1232,현대예술아파트,서울특별시 마포구 도화동 240-1,5
2437,호수임광,서울특별시 송파구 송파동 33,5
3436,효성쥬얼리시티,서울특별시 종로구 인의동 48-2,5
3045,효창한신,서울특별시 용산구 효창동 5-145,5
3451,후암맨션,서울특별시 용산구 후암동 1-20,5
895,힐스빌7,서울특별시 강남구 논현동 46-2,5
912,힐타워,서울특별시 강남구 논현동 53-1,5
1607,(1546-0),서울특별시 중구 황학동 1546,4
1088,CJ나인파크,서울특별시 용산구 문배동 24-6,4
3727,DMC덕원,서울특별시 은평구 증산동 220-1,4
405,DMC상암센트럴파크2단지,서울특별시 마포구 상암동 1618,4
3325,DMC이랜드해가든,서울특별시 서대문구 북가좌동 460,4
1604,DUO302,서울특별시 중구 황학동 819,4
3922,SKVIEW,서울특별시 구로구 신도림동 432-1,4
4378,SK리더스뷰(파스텔시티),서울특별시 서초구 방배동 444-3,4
3036,SK리더스뷰남산,서울특별시 중구 회현동1가 206,4
2905,가락금호아파트,서울특별시 송파구 가락동 95-1,4
3485,강변힐하우스,서울특별시 광진구 구의동 596-1,4
5183,개나리푸르지오,서울특별시 강남구 역삼동 755-1,4
5325,개포우성2,서울특별시 강남구 대치동 500,4
2510,개포자이,서울특별시 강남구 개포동 12-2,4
5134,건영4,서울특별시 관악구 신림동 1702-1,4
1222,건우그린,서울특별시 서대문구 창천동 359,4
4231,골드스타,서울특별시 은평구 갈현동 456-19,4
4022,관악산센텀,서울특별시 관악구 남현동 1066-13,4
3291,광산,서울특별시 서대문구 홍제동 157-68,4
3486,구의현대7단지현대홈타운,서울특별시 광진구 구의동 587-54,4
4604,그랑밸리(64),서울특별시 송파구 오금동 64,4
3314,그레이스(B동),서울특별시 서대문구 홍제동 131-9,4
4776,극동메트로타워,서울특별시 은평구 불광동 311-13,4
4793,금상아파트,서울특별시 은평구 불광동 346-3,4
3513,나크빌라트,서울특별시 광진구 구의동 590-7,4
3034,남산롯데캐슬아이리스,서울특별시 중구 회현동1가 208,4
3447,남산애지앙,서울특별시 용산구 후암동 1-10,4
4784,남해그린힐,서울특별시 은평구 불광동 632,4
4017,뉴타운1동(A동),서울특별시 관악구 남현동 602-329,4
3995,뉴타운B동,서울특별시 관악구 남현동 602-378,4
3998,다청림라인씨티,서울특별시 관악구 남현동 602-17,4
1305,당산계룡리슈빌1단지,서울특별시 영등포구 당산동3가 564,4
1304,당산계룡리슈빌2단지,서울특별시 영등포구 당산동3가 566,4
1301,당산계룡리슈빌3단지,서울특별시 영등포구 당산동3가 565,4
1300,당산한양,서울특별시 영등포구 당산동3가 2-6,4
173,대동,서울특별시 광진구 자양동 784-1,4
1431,대림서초리시온,서울특별시 서초구 서초동 1671-5,4
740,대방1차e-편한세상,서울특별시 동작구 대방동 508,4
738,대방동현대,서울특별시 동작구 대방동 502,4
5082,대방전철,서울특별시 영등포구 신길동 1343,4
749,대방홈타운,서울특별시 동작구 대방동 377-1,4
4609,대영공원(102동),서울특별시 송파구 오금동 54-4,4
5242,대우멤버스카운티201,서울특별시 강남구 삼성동 33-20,4
3465,대우월드마크용산,서울특별시 용산구 한강로1가 64,4
1808,대일아이안(9-25),서울특별시 은평구 대조동 9-25,4
1811,대조동아트캐슬주상복합,서울특별시 은평구 대조동 198-10,4
5302,대치아이파크,서울특별시 강남구 대치동 888,4
5336,대치한신휴플러스,서울특별시 강남구 대치동 907-2,4
4780,대호아파트,서울특별시 은평구 불광동 629,4
4778,대호프라자아파트,서울특별시 은평구 불광동 631-1,4
4229,대훈,서울특별시 은평구 갈현동 136-6,4
1543,더샵스타리버,서울특별시 송파구 신천동 11-8,4
18,덕산,서울특별시 종로구 창신동 639-50,4
4455,덕산홈타운,서울특별시 서초구 방배동 473-14,4
3377,도곡렉슬,서울특별시 강남구 도곡동 527,4
5116,동부,서울특별시 관악구 신림동 1695,4
1596,동성아파트(1동),서울특별시 종로구 동숭동 4-161,4
1595,동성아파트(2동),서울특별시 종로구 동숭동 4-157,4
3997,동송하이클래스,서울특별시 관악구 남현동 602-163,4
2549,동익,서울특별시 강남구 수서동 738,4
3358,동작상떼빌,서울특별시 동작구 신대방동 719,4
3666,동호스카이,서울특별시 은평구 녹번동 141-8,4
1239,두레,서울특별시 마포구 합정동 386-9,4
899,두산위브1단지,서울특별시 강남구 논현동 252-1,4
4804,두진아이브(305-22),서울특별시 은평구 불광동 305-22,4
1617,래미안 허브리츠,서울특별시 동대문구 용두동 792,4
1378,래미안서초7차,서울특별시 서초구 서초동 1642-34,4
2906,래미안파크팰리스,서울특별시 송파구 가락동 165,4
4026,로미아트빌,서울특별시 관악구 남현동 602-201,4
3739,로얄패밀리아파트B동,서울특별시 서대문구 충정로2가 69-60,4
3738,로얄훼미리아파트A동,서울특별시 서대문구 충정로2가 69-23,4
3972,롯데캐슬엠파이어,서울특별시 영등포구 여의도동 36,4
27,롯데캐슬천지인,서울특별시 종로구 숭인동 76,4
5238,롯데캐슬프레미어,서울특별시 강남구 삼성동 11,4
1616,롯데캐슬피렌체,서울특별시 동대문구 용두동 790,4
4488,루이스캐슬,서울특별시 서초구 방배동 478-8,4
4021,르메이르강남타운1,서울특별시 관악구 남현동 1059-1,4
766,마에스트로캠퍼스타운,서울특별시 관악구 봉천동 893-12,4
4273,마포자이,서울특별시 마포구 염리동 521,4
1237,마포한강2차푸르지오,서울특별시 마포구 합정동 473,4
3716,미그린,서울특별시 은평구 증산동 256,4
1820,미동,서울특별시 서대문구 충정로3가 189-8,4
1803,미래하임(9-46),서울특별시 은평구 대조동 9-46,4
1792,미르라이프,서울특별시 은평구 대조동 186-9,4
2632,미아1차래미안,서울특별시 강북구 미아동 797,4
2780,반포두산힐스빌,서울특별시 서초구 반포동 54-5,4
2764,반포미도2차아파트,서울특별시 서초구 반포동 60-5,4
2792,반포훼미리(101동),서울특별시 서초구 반포동 713-1,4
2776,반포훼미리(102동),서울특별시 서초구 반포동 712-19,4
4452,방배엔스위트,서울특별시 서초구 방배동 481-11,4
4370,방배우성,서울특별시 서초구 방배동 2525,4
741,보라매코오롱하늘채,서울특별시 동작구 대방동 509,4
1800,부림베스트빌,서울특별시 은평구 대조동 191-24,4
1456,브라운스톤서초(1677-1),서울특별시 서초구 서초동 1677-1,4
15,브라운스톤창신,서울특별시 종로구 창신동 23-76,4
350,사랑채,서울특별시 서대문구 합동 31-9,4
5077,삼두,서울특별시 영등포구 신길동 2-3,4
1099,삼라마이다스빌2,서울특별시 용산구 문배동 40-19,4
54,삼성래미안,서울특별시 용산구 도원동 23,4
4392,삼성래미안1,서울특별시 서초구 방배동 2626,4
5253,삼성벨라스빌,서울특별시 강남구 삼성동 29-19,4
2483,삼성아파트,서울특별시 동작구 사당동 1037-9,4
1106,삼웅아파트1동,서울특별시 성동구 마장동 778-1,4
32,삼전솔하임2차,서울특별시 종로구 숭인동 296-19,4
1486,삼환바우스,서울특별시 서초구 서초동 1677-11,4
10,삼흥,서울특별시 종로구 창신동 638-45,4
4803,삼흥아파트,서울특별시 은평구 불광동 484-57,4
1216,서소문,서울특별시 서대문구 미근동 215,4
3068,서울숲삼부아파트,서울특별시 성동구 행당동 147,4
1438,서초교대e편한세상,서울특별시 서초구 서초동 1686-9,4
1445,서초녹원,서울특별시 서초구 서초동 1666-14,4
1460,서초대우아이빌,서울특별시 서초구 서초동 1675-11,4
1466,서초롯데캐슬84,서울특별시 서초구 서초동 1642-14,4
1441,서초삼성래미안,서울특별시 서초구 서초동 1641-1,4
1415,서초예성그린캐슬,서울특별시 서초구 서초동 1667-2,4
1515,서초태동스위트,서울특별시 서초구 서초동 1668-1,4
3076,성수우방2차아파트,서울특별시 성동구 성수동2가 286,4
21,성용,서울특별시 종로구 창신동 640-252,4
4012,성원나이스,서울특별시 관악구 남현동 602-189,4
3480,세림리오빌,서울특별시 광진구 구의동 659,4
4003,솔본,서울특별시 관악구 남현동 1085-17,4
4786,송광(484-103),서울특별시 은평구 불광동 484-103,4
1499,수광빌라트,서울특별시 서초구 서초동 1640-3,4
2547,수서한아름,서울특별시 강남구 수서동 712,4
3471,시티파크(2단지),서울특별시 용산구 한강로3가 63-387,4
3542,신답극동,서울특별시 동대문구 답십리동 464-1,4
4617,신당아르브,서울특별시 중구 신당동 160-5,4
4559,신반포21,서울특별시 서초구 잠원동 59-10,4
1813,신세계드림빌1,서울특별시 은평구 대조동 195-14,4
1793,신세계드림빌2,서울특별시 은평구 대조동 195-20,4
4794,신우아파트,서울특별시 은평구 불광동 241-23,4
3496,신원빌라트,서울특별시 광진구 구의동 590,4
746,신일해피트리,서울특별시 동작구 대방동 510,4
4363,신주,서울특별시 서초구 방배동 449-3,4
4862,신촌금호,서울특별시 마포구 창전동 438,4
3341,신촌삼익,서울특별시 마포구 신수동 450,4
4857,신촌태영데시앙,서울특별시 마포구 창전동 439,4
1597,쌍용남산플래티넘,서울특별시 중구 회현동2가 87,4
2815,써니힐,서울특별시 서초구 반포동 701-31,4
4014,쎈트앤빌,서울특별시 관악구 남현동 602-154,4
4002,쎈트앤빌2,서울특별시 관악구 남현동 602-192,4
742,아데나339,서울특별시 동작구 대방동 515,4
1442,아크로비스타,서울특별시 서초구 서초동 1685-3,4
2452,약산,서울특별시 영등포구 양평동4가 160-2,4
4611,약수하이츠,서울특별시 중구 신당동 842,4
4010,양지빌라트,서울특별시 관악구 남현동 602-212,4
349,에스케이뷰,서울특별시 서대문구 합동 118,4
2451,에이스리버티움,서울특별시 영등포구 양평동4가 324,4
5092,여의도리버뷰,서울특별시 영등포구 신길동 4942,4
4009,예성그랑펠리체,서울특별시 관악구 남현동 1138,4
1494,예성그린(1667-3),서울특별시 서초구 서초동 1667-3,4
4013,예성그린캐슬1차,서울특별시 관악구 남현동 1084-1,4
1621,용두두산위브,서울특별시 동대문구 용두동 791,4
3467,용산파크자이,서울특별시 용산구 한강로1가 50-1,4
1818,우리유앤미,서울특별시 서대문구 충정로3가 466,4
4797,월드그린,서울특별시 은평구 불광동 8-51,4
3713,월드메르시안(179-8),서울특별시 은평구 증산동 179-8,4
3319,월드컵현대,서울특별시 서대문구 북가좌동 371-1,4
24,유성,서울특별시 종로구 창신동 640-76,4
1387,유원서초,서울특별시 서초구 서초동 1687,4
5306,은마,서울특별시 강남구 대치동 316,4
1092,이안용산1차(101동),서울특별시 용산구 문배동 11-14,4
1096,이안용산1차(102동),서울특별시 용산구 문배동 7-6,4
1089,이안용산1차(103동),서울특별시 용산구 문배동 11-29,4
1091,이안용산3차,서울특별시 용산구 문배동 40-39,4
1093,이안용산프리미어,서울특별시 용산구 문배동 3-3,4
4640,인성아트빌,서울특별시 중구 신당동 432-502,4
3284,인왕산한신휴플러스,서울특별시 서대문구 홍제동 469,4
1242,일신건영휴먼빌아파트,서울특별시 마포구 합정동 470,4
1544,잠실아이스페이스,서울특별시 송파구 신천동 11-10,4
4524,잠원중앙하이츠(A동),서울특별시 서초구 잠원동 71-15,4
4543,잠원현대훼밀리,서울특별시 서초구 잠원동 59-3,4
1248,장미(466-0),서울특별시 마포구 합정동 466,4
1799,정은노블스,서울특별시 은평구 대조동 197-9,4
4782,정익제이원(4차),서울특별시 은평구 불광동 484-56,4
4795,정익제이원5차,서울특별시 은평구 불광동 486-14,4
4787,제이타워,서울특별시 은평구 불광동 484-60,4
4184,주공19단지(창동리버타운),서울특별시 도봉구 창동 27,4
4606,진성,서울특별시 송파구 오금동 55-3,4
20,창림,서울특별시 종로구 창신동 639-20,4
4622,청구드림,서울특별시 중구 신당동 290-90,4
5143,청암두산위브센티움,서울특별시 관악구 신림동 86-3,4
1819,충림예하임,서울특별시 서대문구 충정로3가 477,4
1826,충정,서울특별시 서대문구 충정로3가 250-5,4
4024,카사빌,서울특별시 관악구 남현동 602-150,4
5121,코스모그린,서울특별시 관악구 신림동 1425-4,4
4519,킴스빌리지,서울특별시 서초구 잠원동 71-12,4
3378,타워팰리스1,서울특별시 강남구 도곡동 467,4
3375,타워팰리스2,서울특별시 강남구 도곡동 467-17,4
4632,태원팰리스5차(432-1132),서울특별시 중구 신당동 432-1132,4
4470,파라다이스(477-7),서울특별시 서초구 방배동 477-7,4
3514,파르네빌,서울특별시 광진구 구의동 587-58,4
3362,펭귄,서울특별시 동작구 신대방동 364-55,4
3509,퓨전빌,서울특별시 광진구 구의동 244-6,4
754,프라비다M,서울특별시 관악구 봉천동 893-1,4
1098,프라임펠리스,서울특별시 용산구 문배동 24-8,4
4016,플라워스위트101동102동,서울특별시 관악구 남현동 1086-7,4
1827,피어리스,서울특별시 서대문구 충정로3가 222,4
743,한국개나리,서울특별시 동작구 대방동 504,4
194,한라아파트,서울특별시 광진구 자양동 762,4
4001,한솔아크로,서울특별시 관악구 남현동 602-218,4
4514,한신타워,서울특별시 서초구 잠원동 71-11,4
4801,해피플러스1,서울특별시 은평구 불광동 483-11,4
4594,현대(2-4차),서울특별시 송파구 오금동 43,4
2936,현대(5차),서울특별시 송파구 가락동 161-2,4
2922,현대(60동),서울특별시 송파구 가락동 161-1,4
2444,현대레이크빌1,서울특별시 송파구 송파동 31-2,4
1473,현대빌리지,서울특별시 서초구 서초동 1642-4,4
2650,현대쉐르빌(302-33),서울특별시 강북구 미아동 302-33,4
2524,현대아파트3,서울특별시 강남구 개포동 177,4
4005,현대이즈빌,서울특별시 관악구 남현동 1058-7,4
1243,현대하이츠,서울특별시 마포구 합정동 386-2,4
3370,현진에버빌,서울특별시 동작구 신대방동 716,4
4235,호림리슈리안,서울특별시 은평구 갈현동 406-46,4
3283,홍제원현대(459-0),서울특별시 서대문구 홍제동 459,4
5151,효림다온,서울특별시 관악구 신림동 1737,4
4652,(246-11),서울특별시 광진구 능동 246-11,3
5095,EL샤틀레,서울특별시 영등포구 신길동 480,3
1236,KCC엠파이어리버,서울특별시 마포구 합정동 381-16,3
5275,LG선릉에클라트(A),서울특별시 강남구 삼성동 142-7,3
5237,LG선릉에클라트(B),서울특별시 강남구 삼성동 142-3,3
67,LG한강자이,서울특별시 용산구 이촌동 430,3
2532,RudenHouse,서울특별시 강남구 신사동 524-8,3
2595,SG타워,서울특별시 중랑구 상봉동 128-10,3
3389,SK허브프리모,서울특별시 강남구 도곡동 953-1,3
5258,SM드림빌,서울특별시 강남구 삼성동 29-11,3
2247,SR친오애,서울특별시 구로구 구로동 97-5,3
893,e-편한세상,서울특별시 강남구 논현동 195-1,3
2927,가락스타클래스,서울특별시 송파구 가락동 8,3
2914,가락쌍용(2차),서울특별시 송파구 가락동 21-6,3
