apartment_name,school_name,distance_meters,distance_km
갈현삼성,서울구산초등학교,299.41528742,0.30
갈현현대,서울구산초등학교,333.55446586,0.33
갑오빌라트,서울송파초등학교,425.33665177,0.43
갑을,서울청룡초등학교,193.85491716,0.19
갑을명가,동작고등학교,113.99365882,0.11
갑을아파트,서울세검정초등학교,262.52432694,0.26
갑지하이린,서울체육중학교,306.68241981,0.31
갑지하이린,서울체육고등학교,306.68241981,0.31
강국,신화중학교,224.99020991,0.22
강나루2현대,경서중학교,174.78329823,0.17
강남 더샵 포레스트,대왕중학교,710.13105528,0.71
강남데시앙파크,서울대왕초등학교,604.91240794,0.60
강남데시앙포레,대왕중학교,416.57460832,0.42
강남상가,서울신구초등학교,587.8981317,0.59
강남서해그랑블,도곡중학교,507.4039915,0.51
강남신동아파밀리에1단지,서울대왕초등학교,427.19474748,0.43
강남신동아파밀리에2단지,서울대왕초등학교,231.50040259,0.23
강남아르젠,서운중학교,314.93606318,0.31
강남엘에이치1단지,서울대왕초등학교,321.5628121,0.32
강남역우정에쉐르,서울역삼초등학교,584.58687489,0.58
강남태영데시앙루브,서울서초초등학교,422.73495654,0.42
강남한솔,서울역삼초등학교,463.10679073,0.46
강남한신휴플러스6단지,서울대왕초등학교,335.66316445,0.34
강남한신휴플러스8단지,서울율현초등학교,533.94048837,0.53
강남한양수자인(4단지),서울율현초등학교,385.26482843,0.39
강동,서울화곡초등학교,277.52809806,0.28
강동LG자이,서울신명초등학교,362.87468684,0.36
강동네스빌,서울체육중학교,329.09312117,0.33
강동네스빌,서울체육고등학교,329.09312117,0.33
강동렘브란트,동신중학교,319.42086037,0.32
강동상떼빌,동신중학교,348.53076988,0.35
강동역두산위브센티움,동신중학교,61.43855263,0.06
강동역신동아파밀리에,동신중학교,105.40479372,0.11
강동역에스케이허브,동신중학교,144.10854165,0.14
강동와이시티,동신중학교,273.96266888,0.27
강동이루미아파트,천호중학교,302.1706306,0.30
강동큐브,동신중학교,283.2953211,0.28
강동큐브(2차),동신중학교,158.61394786,0.16
강동한신휴플러스,동신중학교,284.84964252,0.28
강림스위트빌,서울망원초등학교,256.95043956,0.26
강변,서울한강초등학교,551.40641589,0.55
강변건영아파트,서울경일초등학교,147.11452872,0.15
강변그대가갤럭시,서울신암초등학교,407.03740422,0.41
강변그대가리버뷰,서울신암초등학교,209.93111721,0.21
강변그린,서울신석초등학교,278.95313905,0.28
강변금호타운,경수중학교,489.66078606,0.49
강변동양,서울경일초등학교,361.60017383,0.36
강변래미안,당산중학교,251.19567668,0.25
강변삼부아파트,봉은중학교,349.43138395,0.35
강변삼성스위트,서울원효초등학교,349.0285515,0.35
강변아파트,서울구남초등학교,417.47453276,0.42
강변월드메르디앙,세현고등학교,334.06654098,0.33
강변임광,경수중학교,513.39693292,0.51
강변청구3,성원중학교,505.82350873,0.51
강변코아루,서울염동초등학교,165.35256481,0.17
강변타운,서울동교초등학교,533.21949306,0.53
강변한솔솔파크,서울염창초등학교,394.81737002,0.39
강변한신코아,서울마포초등학교,592.43067544,0.59
강변현대,서울토성초등학교,433.96483209,0.43
강변현대하이엘,성동초등학교,276.78248636,0.28
강변힐스테이트,서울염동초등학교,215.13840769,0.22
강변힐하우스,성동초등학교,102.25539736,0.10
강산빌라트,서울영도초등학교,126.39168296,0.13
강서,서울한강초등학교,534.01171191,0.53
강서그랜드아이파크주상복합,경복여자고등학교,393.71421052,0.39
강서뉴,서울신강초등학교,488.58140808,0.49
강서뉴타워,서울신월초등학교,383.46826114,0.38
강서동도센트리움,서울등서초등학교,363.90784517,0.36
강서센트레빌3차,공항고등학교,260.22734336,0.26
강서센트레빌3차(894-0),공항고등학교,228.64014794,0.23
강서쌍용예가,서울염창초등학교,258.47489869,0.26
강서아이파크,서울우장초등학교,291.48996259,0.29
강서월드메르디앙,등명중학교,370.30567217,0.37
강서타워,교남학교,177.66356187,0.18
강서한강월드메르디앙,성재중학교,125.88095558,0.13
강서한강자이,서울서진학교,172.08239961,0.17
강서힐스테이트,서울내발산초등학교,499.66313697,0.50
강성레스트빌아파트,화곡보건경영고등학교,236.08130046,0.24
강성레스트빌아파트,화곡중학교,236.08130046,0.24
강일리버파크10단지,서울강솔초등학교,203.53458155,0.20
강일리버파크1단지,서울강일초등학교,522.25777921,0.52
강일리버파크2단지,강동중학교,158.32527908,0.16
강일리버파크3단지,서울강일초등학교,286.49281384,0.29
강일리버파크4단지,서울강일초등학교,221.72002154,0.22
강일리버파크5단지,강동중학교,239.8566624,0.24
강일리버파크6단지,강일고등학교,133.77148183,0.13
강일리버파크7단지,강일고등학교,142.43023305,0.14
강일리버파크8단지,강일고등학교,277.20605953,0.28
강일리버파크9단지,서울강솔초등학교,238.51918813,0.24
강촌,중경고등학교,236.42572486,0.24
강호,서울면남초등학교,139.68851214,0.14
개나리,송곡고등학교,97.18662904,0.10
개나리SK뷰,서울도성초등학교,88.21541164,0.09
개나리래미안,역삼중학교,351.59253738,0.35
개나리푸르지오,서울도성초등학교,216.55357316,0.22
개봉동상우,경인고등학교,398.34350642,0.40
개봉동현대아이파크,서울개봉초등학교,170.97436992,0.17
개봉청구,서울세곡초등학교,382.84142778,0.38
개봉푸르지오,서울세곡초등학교,524.5595021,0.52
개성팰리스,은평대영학교,76.4852284,0.08
개성하이뷰,서울역촌초등학교,278.69617659,0.28
개인택시주택조합(미성아파트),서울면일초등학교,361.14757188,0.36
개포2차현대아파트(220),서울구룡초등학교,120.83510274,0.12
개포6차우성아파트1동~8동,서울포이초등학교,458.5620816,0.46
개포우성1,서울대치초등학교,184.36172652,0.18
개포우성2,대청중학교,88.81525457,0.09
개포우성3차,구룡중학교,252.37876549,0.25
개포자이,서울대진초등학교,136.14095349,0.14
개포주공1단지,개포중학교,228.2312227,0.23
개포주공4단지,서울개포초등학교,76.17174937,0.08
개포주공5단지,서울개포초등학교,214.37999712,0.21
개포주공6단지,서울양전초등학교,244.56832505,0.24
개포주공7단지,서울양전초등학교,244.56832505,0.24
개포한신,서울영희초등학교,197.80902909,0.20
개포현대200동,서울구룡초등학교,97.40493372,0.10
개포현대6차,서울구룡초등학교,526.02716395,0.53
개화,서울삼정초등학교,182.88917687,0.18
개화산경남아너스빌,한서고등학교,323.50536824,0.32
갤러리아팰리스,서울송전초등학교,273.7257636,0.27
갤러리아포레,성수고등학교,411.31268751,0.41
갤러리아포레,성수중학교,411.31268751,0.41
갤러리하우스,서초중학교,281.38240459,0.28
갤럭시타운,서울불광초등학교,309.87969274,0.31
거산,신화중학교,202.8207457,0.20
거상센스빌(956-6),서울금산초등학교,268.53014437,0.27
거상센스빌(960-5),서울금산초등학교,307.80820374,0.31
거성,서울개웅초등학교,110.86838863,0.11
거성리젠시2차,신진과학기술고등학교,268.90309848,0.27
거성파스텔,서울선유초등학교,172.47972939,0.17
거성푸르뫼,개봉중학교,304.46972654,0.30
거성푸르뫼2,서울오류초등학교,312.61183593,0.31
거성학마을아파트,서울오봉초등학교,571.40313317,0.57
거여1단지,서울인공지능고등학교,233.45239809,0.23
